番号,問題,選択肢１,選択肢２,選択肢３,選択肢４,答え
1,医療法の目的にあたらないのはどれか。,医療機器の品質を確保する。,国民の健康保持に寄与する。,医療を受ける者の利益を保護する。,良心かつ適切な医療を効率的に提供する。,1
2,一定の障害を持つものが後期高齢者医療制度の対象となるのは何歳以上か。,60歳,65歳,70歳,75歳,2
3,診療報酬を請求できるのはどれか。,患者,患者の親権者,保健所の所長,保険薬局の開設者,4
4,要介護度の区分でないのはどれか。,自立,要介護1,要介護2,要介護3,4
5,診療報酬請求の対象となるのはどれか。,異常分娩に伴った医療行為,保険薬局にて販売した市販薬,入院中の差額ベッド（特別療養環境室）料金,労災保険が適用される負傷者に実施した医療行為,1
6,高度な技術を伴う医療を提供する目的で設定される医療圏はどれか。,一時医療圏,二時医療圏,三時医療圏,四時医療圏,3
7,薬剤師の義務ではないのはどれか。,処方箋の交付,薬剤情報の提供,処方箋による調剤,薬剤の用法等の表示,1
8,刑法以外の法律で守秘義務が規定されている職種はどれか,医師,助産師,保健師,薬剤師,3
9,生まれたばかりの子供が平均してあと何年生きられるかを示したのはどれか。,健康寿命,最長寿命,平均寿命,平均余命,3
10,特定健康診査の検診項目に含まれないのはどれか。,血圧,血糖,腹囲,食塩摂取量,4
